功能模块,功能清单,功能详情,预估工期(人天)
流程及功能设计,,,5
代理商基础设计,新增代理商角色，管理员可将用户设置为代理商,介于普通用户和管理员之间,2
,数据模型设计与更新，外围API兼容迭代,,
"代理商基础架构
（实现前后代理商差异化的动态加载）",代理商域名绑定,管理员为代理商配置专属域名，一个代理商支持多域名,4
,请求来源识别,根据请求Host自动识别代理商身份，加载对应配置,
,品牌定制-Logo,代理商上传配置专属Logo，前端根据域名动态展示,
,品牌定制-网站名称,代理商自定义网站名称，全局展示,
,品牌定制-首页内容,代理商自定义首页HTML内容,
,品牌定制-页脚信息,代理商自定义页脚内容、版权信息,
用户注册与归属,代理商用户自动绑定,用户通过代理商域名注册时自动关联该代理商,3
,渠道码注册识别,支持通过渠道邀请码注册，记录来源渠道,
,用户推荐关系,记录用户的邀请人、所属代理商、来源渠道等信息,
,跨域登录,用户可在不同代理商域名下登录同一账号,
,登录域名跳转,用户登录后根据访问域名展示对应代理商界面,
用户实名认证,实名认证申请,用户提交姓名、身份证号，上传证件照片,2
,实名认证审核,管理员审核用户实名信息，通过/驳回,
,实名状态限制,未实名用户不可申请发票和提现,
,实名信息加密,敏感信息（身份证号）加密存储,
用户账单管理扩展,充值账单,用户充值记录查询，支持代理商维度筛选,3
,发票账单,发票申请、审核、开票状态、发票详情记录,
,提现账单,代理商提现申请、审核、打款状态记录,
,账单统计,各类型账单汇总统计,
代理商用户管理,用户列表,代理商查看自己名下的用户列表，支持分页,3
,用户搜索,按用户名/邮箱/手机号搜索用户,
,用户详情,查看用户基本信息、余额、消费记录、使用情况,
,用户统计,用户数量、新增趋势、活跃度、消费排行等统计,
代理商渠道管理,渠道列表,渠道创建、渠道删除、编辑、状态管理,2
,渠道统计,注册人数、充值人数、充值金额,
,渠道详情,用户列表、充值记录,
代理商数据看板,数据概览,用户数、渠道数、今日消费、本月消费等核心指标,2
,消费明细,代理商用户消费记录查询,
,充值统计,充值金额、笔数、方式分布统计,
,API调用统计,请求量、Token消耗、模型使用分布统计,
代理商系统设置-基础,基础设置,网站名称、Logo、文档地址、Favicon配置,1
,首页HTML,自定义首页内容，支持HTML编辑,
,系统公告,代理商专属公告配置，支持富文本,
,页面显示设置,控制各页面元素显示/隐藏,
,自定义菜单链接,添加自定义导航链接,
代理商系统设置-定价,货币设置,代理商货币单位配置，支持CNY/USD等,1
,充值定价,自定义充值金额档位和赠送规则,
代理商系统设置-SEO,SEO基础配置,标题、页脚、关键词等核心信息管理,3
,SEO接入,统计代码设置、动态嵌入,
,页面SEO设置,,
代理商系统设置-联系方式,客服联系方式,客服QQ/微信/邮箱/Telegram/手机号配置,0.5
,社交媒体链接,微博/抖音/B站等社交媒体链接配置,
代理商系统设置-SMTP,SMTP服务器配置,代理商独立SMTP服务器地址、端口、账号配置,1
,邮件模板,自定义邮件模板（注册、充值、通知等）,
,用户通知,用户通知关联代理商邮箱SMTP,
代理商系统设置-登录认证,OAuth配置,代理商独立OAuth配置（GitHub/Google/微信等）,1
,验证码配置,独立Turnstile/极验等验证码配置,
,快捷登录开关,密码登录/邮箱验证登录等开关控制,
代理商系统设置-协议,用户协议,自定义用户协议内容，注册时需勾选同意,0.5
,隐私政策,自定义隐私政策内容,
代理商系统设置-其他,菜单设置,自定义侧边栏菜单显示/隐藏和排序,1
,API信息,显示代理商API地址、文档链接,
,常见问题,FAQ管理与分类展示,
,自定义CSS/JS,支持注入自定义CSS和JS代码,
管理员-代理商管理,代理商列表,管理员查看所有代理商，支持搜索筛选,3
,创建代理商,创建代理商账号，设置基本信息,
,编辑代理商,编辑代理商信息、域名绑定、状态等,
,启用/禁用代理商,管理代理商账号状态,
,域名管理,为代理商配置和修改专属域名,
,额度分配,给代理商分配账户额度,
,佣金设置,设置代理商佣金比例和结算规则,
管理员-用户管理,发票管理,待开发票审核、完成，状态流转,2
,提现管理,提现审核、完成，状态流转,
系统国际化,支持英文、日语等多国语言,,3
,,,
,,,
总计,,,43
